Date,Open,High,Low,Close,Adj Close,Volume
2013-12-02,6171.149902,6228.700195,6171.149902,6217.850098,6217.850098,145900
2013-12-03,6204.25,6225.399902,6191.399902,6201.850098,6201.850098,156900
2013-12-04,6187.950195,6209.149902,6149.899902,6160.950195,6160.950195,186200
2013-12-05,6262.450195,6300.549805,6232,6241.100098,6241.100098,186100
2013-12-06,6234.399902,6275.350098,6230.75,6259.899902,6259.899902,158500
2013-12-09,6415,6415.25,6345,6363.899902,6363.899902,198300
2013-12-10,6354.700195,6362.25,6307.549805,6332.850098,6332.850098,242400
2013-12-11,6307.200195,6326.600098,6280.25,6307.899902,6307.899902,148200
2013-12-12,6276.75,6286.850098,6230.549805,6237.049805,6237.049805,148500
2013-12-13,6201.299805,6208.600098,6161.399902,6168.399902,6168.399902,169700
2013-12-16,6168.350098,6183.25,6146.049805,6154.700195,6154.700195,146500
2013-12-17,6178.200195,6190.549805,6133,6139.049805,6139.049805,154200
2013-12-18,6129.950195,6236,6129.950195,6217.149902,6217.149902,243300
2013-12-19,6253.899902,6263.75,6150.700195,6166.649902,6166.649902,437000
2013-12-20,6179.950195,6284.5,6170.350098,6274.25,6274.25,172000
2013-12-23,6267.200195,6317.5,6266.950195,6284.5,6284.5,131200
2013-12-24,6296.450195,6301.5,6262,6268.399902,6268.399902,107600
2013-12-26,6270.100098,6302.75,6259.450195,6278.899902,6278.899902,182300
2013-12-27,6292.799805,6324.899902,6289.399902,6313.799805,6313.799805,96900
2013-12-30,6336.399902,6344.049805,6273.149902,6291.100098,6291.100098,101300
2013-12-31,6307.350098,6317.299805,6287.299805,6304,6304,103400
2014-01-01,null,null,null,null,null,null
2014-01-02,6301.25,6358.299805,6211.299805,6221.149902,6221.149902,158100
2014-01-03,6194.549805,6221.700195,6171.25,6211.149902,6211.149902,139000
2014-01-06,6220.850098,6224.700195,6170.25,6191.450195,6191.450195,118300
2014-01-07,6203.899902,6221.5,6144.75,6162.25,6162.25,138600
2014-01-08,6178.049805,6192.100098,6160.350098,6174.600098,6174.600098,146900
2014-01-09,6181.700195,6188.049805,6148.25,6168.350098,6168.350098,150100
2014-01-10,6178.850098,6239.100098,6139.600098,6171.450195,6171.450195,159900
2014-01-13,6189.549805,6288.200195,6189.549805,6272.75,6272.75,135000
2014-01-14,6260.25,6280.350098,6234.149902,6241.850098,6241.850098,110200
2014-01-15,6265.950195,6325.200195,6265.299805,6320.899902,6320.899902,145900
2014-01-16,6341.350098,6346.5,6299.850098,6318.899902,6318.899902,153400
2014-01-17,6306.25,6327.100098,6246.350098,6261.649902,6261.649902,167700
2014-01-20,6261.75,6307.450195,6243.350098,6303.950195,6303.950195,122100
2014-01-21,6320.149902,6330.299805,6297.899902,6313.799805,6313.799805,141700
2014-01-22,6309.049805,6349.950195,6287.450195,6338.950195,6338.950195,137500
2014-01-23,6325.950195,6355.600098,6316.399902,6345.649902,6345.649902,120100
2014-01-24,6301.649902,6331.450195,6263.899902,6266.75,6266.75,160300
2014-01-27,6186.299805,6188.549805,6130.25,6135.850098,6135.850098,190400
2014-01-28,6131.850098,6163.600098,6085.950195,6126.25,6126.25,184100
2014-01-29,6161,6170.450195,6109.799805,6120.25,6120.25,146700
2014-01-30,6067,6082.850098,6027.25,6073.700195,6073.700195,208100
2014-01-31,6082.75,6097.850098,6067.350098,6089.5,6089.5,146700
2014-02-03,6058.799805,6074.850098,5994.450195,6001.799805,6001.799805,134900
2014-02-04,5947.600098,6017.799805,5933.299805,6000.899902,6000.899902,183300
2014-02-05,6004.25,6028.049805,5962.049805,6022.399902,6022.399902,166600
2014-02-06,6028.350098,6048.350098,5965.399902,6036.299805,6036.299805,185500
2014-02-07,6077.649902,6079.950195,6030.899902,6063.200195,6063.200195,181900
2014-02-10,6072.799805,6083.049805,6046.399902,6053.450195,6053.450195,133100
2014-02-11,6072.450195,6081.850098,6053.25,6062.700195,6062.700195,150500
2014-02-12,6085.350098,6106.600098,6077.399902,6084,6084,138500
2014-02-13,6087.549805,6094.399902,5991.100098,6001.100098,6001.100098,153700
2014-02-14,6023.75,6056.399902,5984.600098,6048.350098,6048.350098,140200
2014-02-17,6057.100098,6080.649902,6038.299805,6073.299805,6073.299805,108500
2014-02-18,6071.299805,6141.700195,6066.799805,6127.100098,6127.100098,126600
2014-02-19,6132.049805,6160.350098,6125.75,6152.75,6152.75,95200
2014-02-20,6127.149902,6129.100098,6086.450195,6091.450195,6091.450195,132100
2014-02-21,6108.299805,6159.649902,6108,6155.450195,6155.450195,112600
2014-02-24,6140.950195,6191.850098,6130.799805,6186.100098,6186.100098,144900
2014-02-25,6205.700195,6216.850098,6176.600098,6200.049805,6200.049805,146300
2014-02-26,6202.450195,6245.950195,6202.100098,6238.799805,6238.799805,181700
2014-02-28,6228.450195,6282.700195,6228.100098,6276.950195,6276.950195,180600
2014-03-03,6264.350098,6277.75,6212.25,6221.450195,6221.450195,144600
2014-03-04,6216.75,6302.149902,6215.700195,6297.950195,6297.950195,166800
2014-03-05,6328.450195,6336.25,6287.799805,6328.649902,6328.649902,160300
2014-03-06,6344.75,6406.600098,6339.700195,6401.149902,6401.149902,180700
2014-03-07,6413.950195,6537.799805,6413.549805,6526.649902,6526.649902,284900
2014-03-10,6491.700195,6562.200195,6487.350098,6537.25,6537.25,242100
2014-03-11,6537.350098,6562.850098,6494.25,6511.899902,6511.899902,239000
2014-03-12,6497.5,6546.149902,6487.299805,6516.899902,6516.899902,175000
2014-03-13,6491.75,6561.450195,6476.649902,6493.100098,6493.100098,167900
2014-03-14,6447.25,6518.450195,6432.700195,6504.200195,6504.200195,177300
2014-03-18,6532.450195,6574.950195,6497.649902,6516.649902,6516.649902,179300
2014-03-19,6530,6541.200195,6506,6524.049805,6524.049805,172500
2014-03-20,6508.350098,6523.649902,6473.25,6483.100098,6483.100098,142000
2014-03-21,6515.200195,6522.899902,6485.700195,6493.200195,6493.200195,189900
2014-03-22,null,null,null,null,null,null
2014-03-24,6510.5,6591.5,6510.5,6583.5,6583.5,158400
2014-03-25,6550.100098,6595.549805,6544.850098,6589.75,6589.75,168100
2014-03-26,6615.649902,6627.450195,6580.600098,6601.399902,6601.399902,186600
2014-03-27,6613.100098,6673.950195,6599.5,6641.75,6641.75,312400
2014-03-28,6673.049805,6702.600098,6643.799805,6695.899902,6695.899902,184800
2014-03-31,6723.149902,6730.049805,6662.399902,6704.200195,6704.200195,220600
2014-04-01,6729.5,6732.25,6675.450195,6721.049805,6721.049805,177800
2014-04-02,6757.600098,6763.5,6723.600098,6752.549805,6752.549805,173300
2014-04-03,6772.049805,6776.75,6696.899902,6736.100098,6736.100098,197500
2014-04-04,6741.850098,6741.850098,6685.149902,6694.350098,6694.350098,155100
2014-04-07,6694.25,6725.149902,6650.399902,6695.049805,6695.049805,133900
2014-04-09,6722,6808.700195,6705.100098,6796.200195,6796.200195,169800
2014-04-10,6803.049805,6819.049805,6777.299805,6796.399902,6796.399902,191100
2014-04-11,6758.350098,6789.350098,6743.149902,6776.299805,6776.299805,140700
2014-04-15,6792.700195,6813.399902,6711.75,6733.100098,6733.100098,123200
2014-04-16,6727.25,6748.649902,6665.149902,6675.299805,6675.299805,119800
2014-04-17,6695.450195,6783.049805,6684.399902,6779.399902,6779.399902,131500
2014-04-21,6789.25,6825.450195,6786.899902,6817.649902,6817.649902,111800
2014-04-22,6822.899902,6838,6806.25,6815.350098,6815.350098,114700
2014-04-23,6823.25,6861.600098,6820.75,6840.799805,6840.799805,183000
2014-04-24,null,null,null,null,null,null
2014-04-25,6855.799805,6869.850098,6772.850098,6782.75,6782.75,154300
2014-04-28,6778.549805,6786.25,6750.299805,6761.25,6761.25,118200
2014-04-29,6769,6779.700195,6708.649902,6715.25,6715.25,115500
2014-04-30,6724.950195,6780.149902,6656.799805,6696.399902,6696.399902,161100
2014-05-02,6709.950195,6737.649902,6689.5,6694.799805,6694.799805,114300
2014-05-05,6681.649902,6741.049805,6680.450195,6699.350098,6699.350098,105000
2014-05-06,6719.25,6743.450195,6701.899902,6715.299805,6715.299805,88300
2014-05-07,6708.600098,6718.75,6642.899902,6652.549805,6652.549805,114100
2014-05-08,6669.899902,6688.399902,6638.549805,6659.850098,6659.850098,101600
2014-05-09,6654.149902,6871.350098,6652.149902,6858.799805,6858.799805,166400
2014-05-12,6863.399902,7020.049805,6862.899902,7014.25,7014.25,157700
2014-05-13,7080,7172.350098,7067.149902,7108.75,7108.75,232200
2014-05-14,7112,7142.25,7080.899902,7108.75,7108.75,177200
2014-05-15,7111.299805,7152.549805,7082.549805,7123.149902,7123.149902,186800
2014-05-16,7270.200195,7563.5,7130.649902,7203,7203,393200
2014-05-19,7276.850098,7291.100098,7193.549805,7263.549805,7263.549805,316200
2014-05-20,7309.950195,7353.649902,7247.700195,7275.5,7275.5,255300
2014-05-21,7274.850098,7287.149902,7206.700195,7252.899902,7252.899902,203100
2014-05-22,7289.950195,7319.549805,7258.149902,7276.399902,7276.399902,240900
2014-05-23,7306.5,7381,7293.899902,7367.100098,7367.100098,259600
2014-05-26,7428.75,7504,7269.049805,7359.049805,7359.049805,273200
2014-05-27,7363.100098,7372.950195,7274.75,7318,7318,168600
2014-05-28,7324.950195,7344.75,7302.600098,7329.649902,7329.649902,175600
2014-05-29,7316.600098,7325.399902,7224.399902,7235.649902,7235.649902,241100
2014-05-30,7254.850098,7272.5,7118.450195,7229.950195,7229.950195,312200
2014-06-02,7264.049805,7368.600098,7239.5,7362.5,7362.5,169900
2014-06-03,7375.350098,7424.950195,7342.149902,7415.850098,7415.850098,234700
2014-06-04,7417.549805,7433.299805,7391.350098,7402.25,7402.25,204600
2014-06-05,7399.75,7484.700195,7360.5,7474.100098,7474.100098,250700
2014-06-06,7521.5,7592.700195,7497.649902,7583.399902,7583.399902,248400
2014-06-09,7621.649902,7673.700195,7580.25,7654.600098,7654.600098,231900
2014-06-10,7679.049805,7683.200195,7579.299805,7656.399902,7656.399902,188700
2014-06-11,7672.399902,7700.049805,7589.049805,7626.850098,7626.850098,186200
2014-06-12,7641.299805,7658,7593.799805,7649.899902,7649.899902,148200
2014-06-13,7668.200195,7678.5,7525.350098,7542.100098,7542.100098,174500
2014-06-16,7534.799805,7548.600098,7487.549805,7533.549805,7533.549805,155400
2014-06-17,7525.049805,7637.600098,7509.25,7631.700195,7631.700195,158000
2014-06-18,7636.049805,7663,7515.5,7558.200195,7558.200195,165100
2014-06-19,7580.049805,7606.450195,7502.549805,7540.700195,7540.700195,148900
2014-06-20,7543.299805,7560.549805,7497.299805,7511.450195,7511.450195,124100
2014-06-23,7514,7534.799805,7441.600098,7493.350098,7493.350098,127400
2014-06-24,7515.200195,7593.350098,7515.200195,7580.200195,7580.200195,137000
2014-06-25,7588.549805,7589.25,7557.049805,7569.25,7569.25,115000
2014-06-26,7554.100098,7570.200195,7481.299805,7493.200195,7493.200195,171700
2014-06-27,7514.200195,7538.75,7482.299805,7508.799805,7508.799805,126700
2014-06-30,7534.049805,7623.649902,7531.600098,7611.350098,7611.350098,152300
2014-07-01,7629,7649.5,7618.149902,7634.700195,7634.700195,139400
